Customer_ID,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Previous_Purchases,Payment_Method
1,3.1,Yes,Express,Yes,14,Venmo
2,3.1,Yes,Express,Yes,2,Cash
3,3.1,Yes,Free Shipping,Yes,23,Credit Card
4,3.5,Yes,Next Day Air,Yes,49,PayPal
5,2.7,Yes,Free Shipping,Yes,31,PayPal
6,2.9,Yes,Standard,Yes,14,Venmo
7,3.2,Yes,Free Shipping,Yes,49,Cash
8,3.2,Yes,Free Shipping,Yes,19,Credit Card
9,2.6,Yes,Express,Yes,8,Venmo
10,4.8,Yes,2-Day Shipping,Yes,4,Cash
11,4.1,Yes,Store Pickup,Yes,26,Bank Transfer
12,4.9,Yes,Store Pickup,Yes,10,Bank Transfer
13,4.5,Yes,Express,Yes,37,Venmo
14,4.7,Yes,Express,Yes,31,PayPal
15,4.7,Yes,Free Shipping,Yes,34,Debit Card
16,2.8,Yes,Store Pickup,Yes,8,PayPal
17,4.1,Yes,Next Day Air,Yes,44,Debit Card
18,4.7,Yes,2-Day Shipping,Yes,36,Venmo
19,4.6,Yes,Free Shipping,Yes,17,Cash
20,3.3,Yes,Standard,Yes,46,Debit Card
21,2.8,Yes,Express,Yes,50,Cash
22,4.1,Yes,Store Pickup,Yes,22,Debit Card
23,3.2,Yes,Store Pickup,Yes,32,Debit Card
24,4.4,Yes,Express,Yes,40,Credit Card
25,2.9,Yes,Store Pickup,Yes,16,Debit Card
26,3.6,Yes,Express,Yes,14,PayPal
27,3.6,Yes,Next Day Air,Yes,13,Credit Card
28,5,Yes,Next Day Air,Yes,7,Bank Transfer
29,4.4,Yes,Free Shipping,Yes,41,PayPal
30,4.1,Yes,Store Pickup,Yes,14,Credit Card
31,4.7,Yes,Standard,Yes,16,Credit Card
32,4.7,Yes,Store Pickup,Yes,45,Venmo
33,4.9,Yes,Free Shipping,Yes,37,Venmo
34,3.3,Yes,Store Pickup,Yes,45,Cash
35,4.6,Yes,2-Day Shipping,Yes,38,PayPal
36,4,Yes,2-Day Shipping,Yes,48,Credit Card
37,4.6,Yes,Free Shipping,Yes,44,PayPal
38,2.8,Yes,Store Pickup,Yes,10,PayPal
39,3.7,Yes,2-Day Shipping,Yes,44,Venmo
40,4.2,Yes,Express,Yes,18,Credit Card
41,4.6,Yes,Next Day Air,Yes,31,Debit Card
42,4.5,Yes,Standard,Yes,40,Venmo
43,4.1,Yes,Free Shipping,Yes,15,PayPal
44,3.7,Yes,Store Pickup,Yes,19,PayPal
45,4.6,Yes,Free Shipping,Yes,45,PayPal
46,2.9,Yes,2-Day Shipping,Yes,25,PayPal
47,2.9,Yes,Store Pickup,Yes,45,Cash
48,4.5,Yes,Free Shipping,Yes,36,Cash
49,2.7,Yes,Store Pickup,Yes,38,Cash
50,4.6,Yes,Next Day Air,Yes,34,Debit Card
51,3.7,Yes,Store Pickup,Yes,39,Debit Card
52,4.7,Yes,2-Day Shipping,Yes,7,Credit Card
53,2.6,Yes,Free Shipping,Yes,26,Credit Card
54,3.9,Yes,Next Day Air,Yes,35,Credit Card
55,4.2,Yes,Next Day Air,Yes,35,Debit Card
56,3,Yes,2-Day Shipping,Yes,49,Credit Card
57,4.7,Yes,Store Pickup,Yes,46,Credit Card
58,4.4,Yes,Store Pickup,Yes,17,Debit Card
59,4.2,Yes,Free Shipping,Yes,29,Venmo
60,4.6,Yes,Standard,Yes,4,Debit Card
61,4,Yes,Express,Yes,17,Cash
62,4.7,Yes,Store Pickup,Yes,21,Credit Card
63,3.8,Yes,Free Shipping,Yes,31,Credit Card
64,2.7,Yes,2-Day Shipping,Yes,43,Credit Card
65,4.8,Yes,Standard,Yes,18,Debit Card
66,4.8,Yes,2-Day Shipping,Yes,44,Venmo
67,4.7,Yes,2-Day Shipping,Yes,3,Venmo
68,4.4,Yes,Store Pickup,Yes,49,Debit Card
69,3.9,Yes,Next Day Air,Yes,21,Cash
70,4.4,Yes,Express,Yes,5,Cash
71,4.2,Yes,Express,Yes,32,Debit Card
72,2.9,Yes,Express,Yes,34,Bank Transfer
73,2.9,Yes,Store Pickup,Yes,21,Bank Transfer
74,2.7,Yes,Free Shipping,Yes,43,Bank Transfer
75,4.5,Yes,Express,Yes,3,Cash
76,2.7,Yes,Free Shipping,Yes,21,Credit Card
77,4.2,Yes,Free Shipping,Yes,32,Venmo
78,3.3,Yes,Next Day Air,Yes,36,Debit Card
79,4.7,Yes,Free Shipping,Yes,50,Venmo
80,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer
81,3.3,Yes,Store Pickup,Yes,24,Credit Card
82,2.6,Yes,Express,Yes,36,Credit Card
83,4,Yes,2-Day Shipping,Yes,21,Credit Card
84,4.1,Yes,Standard,Yes,34,Bank Transfer
85,4.4,Yes,Standard,Yes,42,Bank Transfer
86,4.5,Yes,Next Day Air,Yes,2,Debit Card
87,3.7,Yes,2-Day Shipping,Yes,47,Cash
88,3.7,Yes,2-Day Shipping,Yes,44,Debit Card
89,3.5,Yes,Free Shipping,Yes,35,Credit Card
90,3.6,Yes,Next Day Air,Yes,15,Cash
91,2.9,Yes,Express,Yes,29,Credit Card
92,4.6,Yes,Standard,Yes,18,Credit Card
93,4.4,Yes,2-Day Shipping,Yes,13,Venmo
94,4.5,Yes,Standard,Yes,46,Credit Card
95,4.6,Yes,Free Shipping,Yes,28,Credit Card
96,3.8,Yes,Free Shipping,Yes,48,PayPal
97,3.6,Yes,Express,Yes,43,Venmo
98,4.8,Yes,Store Pickup,Yes,37,Cash
99,2.6,Yes,Next Day Air,Yes,20,Bank Transfer
100,3.7,Yes,Express,Yes,33,Debit Card
101,2.7,Yes,Express,Yes,31,Cash
102,4.6,Yes,Express,Yes,50,Credit Card
103,4.8,Yes,Next Day Air,Yes,35,Credit Card
104,4,Yes,Next Day Air,Yes,22,Venmo
105,4.4,Yes,2-Day Shipping,Yes,1,PayPal
106,3.6,Yes,Next Day Air,Yes,4,Bank Transfer
107,3.7,Yes,Standard,Yes,31,Credit Card
108,3.1,Yes,Next Day Air,Yes,46,PayPal
109,3.4,Yes,Next Day Air,Yes,32,Bank Transfer
110,2.6,Yes,Next Day Air,Yes,43,Bank Transfer
111,4,Yes,Standard,Yes,26,Venmo
112,5,Yes,Free Shipping,Yes,9,Credit Card
113,4.3,Yes,Free Shipping,Yes,28,PayPal
114,3.1,Yes,Next Day Air,Yes,20,PayPal
115,3.7,Yes,Store Pickup,Yes,9,Cash
116,3.8,Yes,Standard,Yes,48,Debit Card
117,3.4,Yes,Free Shipping,Yes,12,Venmo
118,4.6,Yes,Express,Yes,29,Cash
119,4.8,Yes,2-Day Shipping,Yes,27,Cash
120,4.3,Yes,Express,Yes,44,Cash
121,4,Yes,Express,Yes,32,Bank Transfer
122,4.2,Yes,Standard,Yes,11,Cash
123,4.8,Yes,2-Day Shipping,Yes,44,Cash
124,3.1,Yes,Free Shipping,Yes,46,Cash
125,3.1,Yes,Next Day Air,Yes,50,PayPal
126,3.6,Yes,Next Day Air,Yes,45,Venmo
127,3.9,Yes,Store Pickup,Yes,48,Cash
128,4.8,Yes,Next Day Air,Yes,26,Credit Card
129,4.7,Yes,Standard,Yes,21,Credit Card
130,4.2,Yes,2-Day Shipping,Yes,49,PayPal
131,3.7,Yes,Next Day Air,Yes,13,PayPal
132,3.9,Yes,Standard,Yes,46,Credit Card
133,4.7,Yes,2-Day Shipping,Yes,42,PayPal
134,2.5,Yes,Next Day Air,Yes,25,Venmo
135,4.9,Yes,Store Pickup,Yes,25,Cash
136,4.1,Yes,Express,Yes,12,PayPal
137,3.3,Yes,Free Shipping,Yes,4,Debit Card
138,4.7,Yes,Free Shipping,Yes,38,PayPal
139,4.4,Yes,Store Pickup,Yes,42,Bank Transfer
140,3.8,Yes,Store Pickup,Yes,30,Venmo
141,3.9,Yes,2-Day Shipping,Yes,50,Credit Card
142,4.9,Yes,Free Shipping,Yes,45,PayPal
143,3.1,Yes,Free Shipping,Yes,33,Credit Card
144,2.7,Yes,Store Pickup,Yes,25,PayPal
145,3.2,Yes,Express,Yes,25,Cash
146,4.5,Yes,Standard,Yes,44,Debit Card
147,4,Yes,Standard,Yes,21,Venmo
148,3.5,Yes,2-Day Shipping,Yes,31,Bank Transfer
149,2.6,Yes,Store Pickup,Yes,47,Debit Card
150,3.2,Yes,Free Shipping,Yes,14,PayPal
151,4.9,Yes,Standard,Yes,17,Debit Card
152,4.5,Yes,Next Day Air,Yes,3,Venmo
153,4.3,Yes,Express,Yes,42,Venmo
154,3.2,Yes,Standard,Yes,22,Debit Card
155,3.6,Yes,Next Day Air,Yes,21,Venmo
156,4.3,Yes,Free Shipping,Yes,21,Bank Transfer
157,4,Yes,Standard,Yes,40,Debit Card
158,3,Yes,Next Day Air,Yes,1,Bank Transfer
159,4.1,Yes,Standard,Yes,50,Bank Transfer
160,3.8,Yes,Store Pickup,Yes,39,Bank Transfer
161,4.6,Yes,Free Shipping,Yes,34,Venmo
162,3,Yes,Express,Yes,29,Venmo
163,3,Yes,Store Pickup,Yes,31,PayPal
164,3.4,Yes,Standard,Yes,8,Debit Card
165,2.6,Yes,Free Shipping,Yes,5,Credit Card
166,2.8,Yes,Store Pickup,Yes,7,Cash
167,4,Yes,Store Pickup,Yes,30,Cash
168,4,Yes,Express,Yes,14,Credit Card
169,3,Yes,Express,Yes,5,Cash
170,3.3,Yes,Standard,Yes,3,PayPal
171,2.6,Yes,Store Pickup,Yes,46,Venmo
172,3.6,Yes,Store Pickup,Yes,4,Credit Card
173,3.9,Yes,Next Day Air,Yes,42,Credit Card
174,3.4,Yes,Standard,Yes,30,Cash
175,3.5,Yes,Express,Yes,37,Venmo
176,2.8,Yes,Next Day Air,Yes,2,Bank Transfer
